__Smoker69,[-148;-196],447260,CB5
Blanox,[-144;-174],0,CB5
HortFishy,[-193;-79],0,CB3
GamingFlashTv,[-193;-81],0,CB3
Ra_Ra_07,[-193;-84],0,CB3
Kreyzed,[-144;-184],0,CB5
MeteoritenStaihn,[-193;-85],0,CB3
DieStunden,[-193;-86],0,CB3
x_GRIEF_PaNdA_x,[-144;-188],0,CB5
cxngi,[-193;-87],0,CB3
HyTeYT,[-144;-192],0,CB5
Kommander12,[-193;-89],0,CB3
kleinV23,[-144;-193],0,CB5
Pyroplayerleon,[-193;-91],0,CB3
Astroneer_2,[-144;-196],0,CB5
608klicker97,[-193;-92],0,CB3
Smash_Dus,[-193;-94],0,CB3
zPizzaJxnge,[-144;-200],0,CB5
Smash_Dus,[-193;-96],0,CB3
Tobs_007,[-193;-97],0,CB3
HortFishy,[-193;-98],0,CB3
PacificPatrick,[-145;195],0,CB5
Eddiiieee,[-145;194],0,CB5
BiddeHelfenSie,[-145;191],0,CB5
maxiking1337,[-193;-115],0,CB3
BTW_Itsgolq,[-145;188],0,CB5
CuZimPlayZz,[-193;-117],0,CB3
The_Shark222,[-145;185],0,CB5
MrCarryMarry,[-193;-121],0,CB3
CuzImZunex,[-193;-122],0,CB3
SkitHD,[-145;180],0,CB5
Kakashi_fan,[-193;-124],0,CB3
kingjoongebabo,[-145;178],0,CB5
Kakashi_fan,[-193;-125],0,CB3
FubiisFan,[-145;170],0,CB5
Legit_Freak,[-145;167],0,CB5
KekseMeinLeben,[-193;-133],0,CB3
BlockBuster_3D,[-193;-141],0,CB3
Ionapikesir,[-145;150],0,CB5
Fanfasstiq,[-193;-147],0,CB3
Ionapikesir,[-145;149],0,CB5
YT_Trigger,[-193;-149],0,CB3
KEN0S,[-145;147],0,CB5
Puckiiii,[-145;145],0,CB5
RicesLOL,[-193;-155],0,CB3
Lvshiii,[-137;82],0,CB4
RicesLOL,[-193;-156],0,CB3
MonstaNess,[-145;140],0,CB5
psccard,[-193;-157],0,CB3
zFizz_,[-137;78],0,CB4
MonstaNess,[-145;139],0,CB5
psccard,[-193;-158],0,CB3
PinkPatrickBang,[-137;77],0,CB4
four_Black,[-137;73],0,CB4
Toasty127,[-193;-165],0,CB3
AltixeYT,[-193;-166],0,CB3
_CuzImLucky,[-145;133],0,CB5
MenmaV,[-193;-169],0,CB3
XDHDLP,[-145;132],0,CB5
Miyu14,[-145;131],0,CB5
herrtim123,[-145;129],0,CB5
HeroSkillZz,[-145;128],0,CB5
BessereFleunde,[-137;61],0,CB4
pvtyoungmoo,[-145;127],0,CB5
Maaaaalte,[-193;-177],0,CB3
Sempfi338,[-137;60],0,CB4
Leeyla,[-145;125],0,CB5
1047kmFNA,[-137;57],0,CB4
Plakto,[-145;123],0,CB5
JJ_22,[-137;56],0,CB4
DerBeleidigende,[-193;-183],0,CB3
DerBeleidigende,[-193;-184],0,CB3
ModiX_TV,[-137;53],0,CB4
wangkizokt,[-145;117],0,CB5
schnitter8472,[-145;115],0,CB5
TasteDaBomb1337,[-137;49],0,CB4
XeventoSince2k14,[-137;46],0,CB4
SiqqYuuki,[-137;45],0,CB4
SiqqYuuki,[-137;44],0,CB4
Fati2006,[-145;111],0,CB5
RealSkillEnte,[-194;200],0,CB3
ITz_PvPGames,[-137;43],0,CB4
FeuersteihnFNA,[-137;39],0,CB4
ILoveAnes,[-145;106],0,CB5
AMMEGHG,[-145;104],0,CB5
Windburns,[-194;197],0,CB3
XJustinX003,[-145;101],0,CB5
Kilian_NoisePro,[-194;189],0,CB3
MondkingBabo,[-194;185],0,CB3
BlackNante,[-145;89],0,CB5
verqauftjr,[-145;88],0,CB5
Caprisonne808,[-194;183],0,CB3
fexyyyy,[-137;22],0,CB4
Caprisonne808,[-194;182],0,CB3
LX53,[-145;85],0,CB5
Xen4i1337,[-145;84],0,CB5
UnleqitPandaYT,[-194;175],0,CB3
Ryzanq,[-137;20],0,CB4
MrsGrxndmaFNA,[-145;78],0,CB5
KeineKoordinaten,[-137;19],0,CB4
IbimsSeiti,[-194;172],0,CB3
SchirdeHD,[-145;77],0,CB5
Yakuza740,[-137;14],0,CB4
__M_a_r_v__,[-137;13],0,CB4
Enity1234,[-194;165],0,CB3
HoryzonSG,[-137;10],0,CB4
ToterNico,[-194;163],0,CB3
AioHud,[-145;70],0,CB5
ToterNico,[-194;162],0,CB3
_AxelVoss_,[-145;68],0,CB5
LisaSexxyyy,[-137;7],0,CB4
LisaSexxyyy,[-137;5],0,CB4
LisaSexxyyy,[-137;4],0,CB4
LisaSexxyyy,[-137;3],0,CB4
Haos_Vlad_2_0,[-194;156],0,CB3
I_bims_Der_noob,[-194;155],0,CB3
KP999,[-137;-1],0,CB4
felixmaster123,[-137;-6],0,CB4
lennard05,[-145;56],0,CB5
_Strela_,[-194;149],0,CB3
lennard05,[-145;55],0,CB5
Yerras,[-137;-10],0,CB4
MineBlocks95,[-145;53],0,CB5
zImZxmbie,[-194;141],0,CB3
EisZapfenYT,[-137;-15],0,CB4
CallMeHamudi,[-194;137],0,CB3
felixmaster123,[-137;-19],0,CB4
byleon123,[-145;41],0,CB5
TixluckyStefan,[-137;-21],0,CB4
Timo21,[-145;40],0,CB5
andi160478,[-194;132],0,CB3
HnyGirl,[-194;131],0,CB3
Timo21,[-145;39],0,CB5
xThe_AnGix,[-194;130],0,CB3
dunkyyy495,[-145;38],0,CB5
Laitrix,[-137;-25],0,CB4
Blockmaster_1000,[-194;129],0,CB3
CuzImJamie_,[-137;-27],0,CB4
7ph_Musixen,[-194;125],0,CB3
Stitch3s_1,[-137;-29],0,CB4
Faaabiiian,[-145;31],0,CB5
MegaBasti6000,[-194;123],0,CB3
Sentrix_builds,[-145;29],0,CB5
WarAufBaustella,[-137;-37],0,CB4
1wildesToniii,[-194;122],0,CB3
WarAufBaustella,[-137;-38],0,CB4
EnderMind87,[-194;120],0,CB3
TNTgamerYT,[-137;-42],0,CB4
SubtLateCakeTV,[-145;28],0,CB5
LLucassa,[-145;25],0,CB5
PhilipKrieger275,[-137;-45],0,CB4
EinWildesNils_,[-194;107],0,CB3
leleckbulde,[-145;24],0,CB5
PhilipKrieger275,[-137;-46],0,CB4
Luca_of_steel,[-194;106],0,CB3
leleckbulde,[-145;23],0,CB5
leleckbulde,[-145;22],0,CB5
leleckbulde,[-145;21],0,CB5
zTUT,[-145;19],0,CB5
_CandyCookie_,[-145;18],0,CB5
ZeusSein_Brot,[-145;17],0,CB5
NASA_Troller,[-194;95],0,CB3
Splitface2908,[-137;-57],0,CB4
ZeusSein_Brot,[-145;16],0,CB5
Kwuksie,[-194;90],0,CB3
Sentrix_builds,[-145;14],0,CB5
KnuddelChris325,[-137;-61],0,CB4
KnuddelChris325,[-137;-67],0,CB4
its_igi,[-194;78],0,CB3
Janfirlefans,[-194;77],0,CB3
Fabio2701,[-137;-70],0,CB4
Janfirlefans,[-194;76],0,CB3
Janfirlefans,[-194;75],0,CB3
HerrrotBlock,[-145;-6],0,CB5
